CODE,ค่าแรง,ตำแหน่ง/แผนก,เพศ,Year,Quarter,Month,Day,วุฒิ,ศาสนา,สัญชาติ,อายุ,อายุงาน(เดือน),อายุงาน(ปี),อายุงาน(วัน),วันที่ลาออก,เหตุผล,สถานะ (groups)
H063,,milling,ช,2563,Qtr 3,July,1,ม.3,พุทธ,ไทย,22,0,0,30,7/31/2563,ได้งานใหม่,ลาออก
H064,,milling,ช,2563,Qtr 3,August,17,ม.3,พุทธ,ไทย,28,0,0,18,9/4/2563,ได้งานใหม่,ลาออก
H065,,milling,ช,2563,Qtr 3,September,2,ปวส.,พุทธ,ไทย,22,2,2,24,0,ทำงาน,ทำงาน
H066,,milling,ช,2563,Qtr 3,September,1,ปวส.,พุทธ,ไทย,27,11,0,27,8/28/2564,ได้งานใหม่,ลาออก
H067,,milling,ช,2563,Qtr 3,September,22,ม.3,พุทธ,ไทย,41,2,2,4,0,ทำงาน,ทำงาน
H068,,milling,ช,2563,Qtr 4,October,9,ปวส.,พุทธ,ไทย,23,1,0,6,11/15/2563,ได้งานใหม่,ลาออก
H069,,milling,ช,2563,Qtr 4,October,9,ม.6,พุทธ,ไทย,29,1,0,21,11/30/2563,ได้งานใหม่,ลาออก
H070,,milling,ช,2563,Qtr 4,December,3,ม.6,พุทธ,ไทย,41,1,0,27,1/30/2564,ได้งานใหม่,ลาออก
H071,,อื่น ๆ รง.,ญ,2563,Qtr 4,December,3,ม.6,พุทธ,ไทย,36,11,1,23,0,ทำงาน,ทำงาน
H072,,milling,ช,2564,Qtr 1,January,4,ปวช.,พุทธ,ไทย,33,5,1,29,7/3/2565,กลับบ้าน,ลาออก
H073,,milling,ช,2564,Qtr 1,January,9,ป.6,พุทธ,ไทย,30,0,0,22,1/31/2564,กลับบ้าน,ลาออก
H074,,milling,ช,2564,Qtr 1,January,9,ปวช.,พุทธ,ไทย,29,5,0,16,6/25/2564,ได้งานใหม่,ลาออก
H075,,Manual,ช,2564,Qtr 1,January,9,ม.3,พุทธ,ไทย,44,10,1,17,0,ทำงาน,ทำงาน
H076,,milling,ช,2563,Qtr 3,September,2,ม.3,พุทธ,ไทย,23,11,0,29,8/31/2564,ได้งานใหม่,ลาออก
H077,,milling,ช,2564,Qtr 1,February,18,ม.3,พุทธ,ไทย,23,9,1,8,0,ทำงาน,ทำงาน
H078,,milling,ช,2564,Qtr 1,February,25,ปวส.,พุทธ,ไทย,25,1,0,6,3/31/2564,ได้งานใหม่,ลาออก
H079,,milling,ช,2564,Qtr 1,March,8,ปวส.,พุทธ,ไทย,23,3,1,14,6/22/2565,ได้งานใหม่,ลาออก
H080,,milling,ช,2564,Qtr 2,May,20,ป.ตรี,พุทธ,ไทย,36,3,1,6,0,ทำงาน,ทำงาน
